Data Contents
"TIC, FULL_TOI_ID"
8400842,1676.01
432132155,2371.01
149833117,1717.01
58542531,1683.01
356473034,1720.01
368435330,1797.01
142387023,1824.01
199444169,1410.01
257241363,1718.01
347357977,2370.01
233497719,1877.01
339522221,1917.01
344085117,2365.01
445456888,2363.01
302924206,2362.01
399868187,2473.01
100589632,2342.01
322807675,2398.01
248655556,2569.01
256364928,4470.01
268924036,4490.01
264508014,4474.01
269269546,4488.01
27318774,4471.01
22069559,4501.01
305943739,4498.01
209752908,4483.01
126606859,4479.01
233823679,4478.01
196286587,592.01
468977648,3001.01
3840990,2942.01
70887357,2008.01
174426662,3386.01
176780257,4187.01
150430484,859.01
328167090,1384.01
360286627,1042.01
339961200,724.01
452810327,2708.01
462072242,2960.01
4070275,4364.01
145038729,4252.01
146842334,4271.01
279514271,2339.01
73433128,2990.01
437704321,4534.01
4102368,4241.01
101929303,1171.01
324116813,3462.01
7439481,4339.01
379723086,4396.01
308612785,2898.01
304025075,2951.01
85459171,4072.01
429791387,4392.01
198206613,1741.01
119584412,1801.01
167418898,383.01
27966179,330.01
434105231,311.01
9102327,313.01
100014359,380.01
80432617,359.01
308208458,345.01
144301273,376.01
224245334,333.01
206352378,318.01
175477257,310.01
37749396,260.01
9725627,239.01
101948569,240.01
77951245,450.01
459942762,430.01
117979455,422.01
44792534,954.01
93125144,523.01
29017001,4598.01
234112540,537.01
121338379,498.01
134537478,501.01
333607525,890.01
365781372,627.01
155044736,1015.01
5772442,979.01
429302040,1905.01
268371979,977.01
25799609,963.01
106997505,1003.01
118021229,614.01
339857675,686.01
66783360,1399.01
453209605,968.01
379929661,625.01
333821572,974.01
333473672,1422.01
117322779,1558.01
148659924,983.01
82362447,639.01
339636032,688.01
29336129,2933.01
33153766,653.01
400395395,3004.01
301289516,4517.01
181804752,736.02
178709444,762.01
16740101,1150.01
41330864,1168.01
240450679,1322.01
346338552,1388.01
35855047,2996.01
36734222,656.01
53189332,660.01
122418622,3017.01
319568619,3277.01
358070912,3261.01
367425982,3937.01
422554579,3929.01
470852531,1625.01
427866520,4027.01
104208182,1738.01
326453034,223.01
241442273,4626.01
219366908,2680.01
218483943,4395.01
292202337,4630.01
245462406,1561.01
164767175,266.01
318937509,516.01
841226526,3828.01
220068921,2369.01
317483660,2346.01
396556650,3654.01
176148945,3380.01
120826158,4495.02
147576037,1157.01
318796593,2886.01
262843259,2531.01
130349701,2822.01
461271719,838.01
392476080,2109.01
231833236,2648.01
77156829,696.01
453464017,1993.01
404421005,4628.01
341630071,2147.01
67598139,4195.01
33716474,4561.01
467971286,2204.01
48178229,2517.01
96055535,3390.01
219175972,2441.01
167661160,2479.01
441155146,2560.01
221861843,3486.01
269238073,1520.01
441732151,1555.01
187029841,1600.01
370133522,1078.01
360742636,1076.01
348684813,2667.01
441738827,2084.01
219850915,1244.01
284679064,2566.01
353367071,1663.01
419858461,3165.01
275562670,3472.01
301455423,3326.01
305512837,3323.01
307320565,3320.01
71854745,1590.01
464445045,3293.01
323980895,3148.01
